SEF	1.0.0
ID	LE-KHROUB-ALGERIA
Name	LE-KHROUB-ALGERIA
Lat	36.3000
Lon	6.7000
Alt	0.0
Source	ISPDv4
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1945	1	5	7	0	0	999.30	
1945	1	5	8	0	0	1000.00	
1945	1	5	9	0	0	1000.30	
1945	1	5	10	0	0	999.60	
1945	1	5	11	0	0	999.30	
1945	1	5	12	0	0	999.60	
1945	1	5	13	0	0	1000.00	
1945	1	5	14	0	0	1000.60	
1945	1	5	15	0	0	1000.60	
1945	1	5	16	0	0	1001.30	
1945	1	5	17	0	0	1001.30	
1945	1	5	18	0	0	1001.30	
1945	1	5	19	0	0	1002.00	
1945	1	5	20	0	0	1002.70	
1945	1	5	21	0	0	1003.00	
1945	1	5	22	0	0	1003.00	
1945	1	5	23	0	0	1003.30	
1945	1	6	0	0	0	1003.30	
1945	1	6	1	0	0	1004.00	
1945	1	6	2	0	0	1003.70	
1945	1	6	3	0	0	1003.70	
1945	1	6	4	0	0	1004.40	
1945	1	6	5	0	0	1004.70	
1945	1	6	6	0	0	1005.00	
1945	1	6	7	0	0	1005.70	
1945	1	6	8	0	0	1006.70	
1945	1	6	9	0	0	1007.10	
1945	1	6	10	0	0	1007.10	
1945	1	6	11	0	0	1007.70	
1945	1	6	12	0	0	1007.70	
1945	1	6	13	0	0	1007.70	
1945	1	6	14	0	0	1008.40	
1945	1	6	15	0	0	1008.80	
1945	1	6	16	0	0	1009.40	
1945	1	6	17	0	0	1009.80	
1945	1	6	18	0	0	1010.50	
1945	1	6	19	0	0	1010.50	
1945	1	6	20	0	0	1010.80	
1945	1	6	21	0	0	1010.80	
1945	1	6	22	0	0	1010.80	
1945	1	6	23	0	0	1010.80	
1945	1	7	0	0	0	1011.80	
1945	1	7	1	0	0	1011.80	
1945	1	7	2	0	0	1011.80	
1945	1	7	3	0	0	1011.80	
1945	1	7	4	0	0	1011.80	
1945	1	7	5	0	0	1013.50	
1945	1	7	6	0	0	1014.50	
1945	1	7	7	0	0	1014.50	
1945	1	7	8	0	0	1014.90	
1945	1	7	9	0	0	1015.20	
1945	1	7	10	0	0	1014.20	
1945	1	7	11	0	0	1013.20	
1945	1	7	12	0	0	1013.50	
1945	1	7	13	0	0	1013.80	
1945	1	7	14	0	0	1013.80	
1945	1	7	15	0	0	1013.80	
1945	1	7	16	0	0	1013.80	
1945	1	7	17	0	0	1014.20	
1945	1	7	18	0	0	1014.20	
1945	1	7	19	0	0	1014.20	
1945	1	7	20	0	0	1014.50	
1945	1	7	21	0	0	1014.90	
1945	1	7	22	0	0	1014.90	
1945	1	7	23	0	0	1015.20	
1945	1	8	0	0	0	1015.20	
1945	1	8	1	0	0	1015.20	
1945	1	8	2	0	0	1015.20	
1945	1	8	3	0	0	1014.90	
1945	1	8	4	0	0	1014.90	
1945	1	8	5	0	0	1014.90	
1945	1	8	6	0	0	1015.20	
1945	1	8	7	0	0	1015.20	
1945	1	8	8	0	0	1015.90	
1945	1	8	9	0	0	1015.90	
1945	1	8	10	0	0	1014.50	
1945	1	8	11	0	0	1012.50	
1945	1	8	12	0	0	1011.80	
1945	1	8	13	0	0	1011.50	
1945	1	8	14	0	0	1011.80	
1945	1	8	15	0	0	1011.50	
1945	1	8	16	0	0	1011.80	
1945	1	8	17	0	0	1012.10	
1945	1	8	18	0	0	1012.10	
1945	1	8	19	0	0	1011.50	
1945	1	8	20	0	0	1010.80	
1945	1	8	21	0	0	1010.10	
1945	1	8	22	0	0	1008.80	
1945	1	8	23	0	0	1007.70	
1945	1	9	0	0	0	1006.70	
1945	1	9	1	0	0	1007.10	
1945	1	9	2	0	0	1006.40	
1945	1	9	3	0	0	1005.70	
1945	1	9	4	0	0	1005.70	
1945	1	9	5	0	0	1005.70	
1945	1	9	6	0	0	1006.00	
1945	1	9	7	0	0	1006.00	
1945	1	9	8	0	0	1006.40	
1945	1	9	9	0	0	1006.70	
1945	1	9	10	0	0	1005.70	
1945	1	9	11	0	0	1003.70	
1945	1	9	12	0	0	1002.30	
1945	1	9	13	0	0	1001.60	
1945	1	9	14	0	0	1001.60	
1945	1	9	15	0	0	1000.60	
1945	1	9	16	0	0	1000.00	
1945	1	9	17	0	0	999.30	
1945	1	9	18	0	0	999.30	
1945	1	9	19	0	0	999.60	
1945	1	9	20	0	0	1001.60	
1945	1	9	21	0	0	1002.00	
1945	1	9	22	0	0	1001.60	
1945	1	9	23	0	0	1001.00	
1945	1	10	0	0	0	1000.60	
1945	1	10	1	0	0	1000.60	
1945	1	10	2	0	0	1000.60	
1945	1	10	3	0	0	1001.00	
1945	1	10	4	0	0	1002.00	
1945	1	10	5	0	0	1002.30	
1945	1	10	6	0	0	1003.30	
1945	1	10	7	0	0	1004.00	
1945	1	10	8	0	0	1006.00	
1945	1	10	9	0	0	1006.40	
1945	1	10	10	0	0	1006.40	
1945	1	10	11	0	0	1006.70	
1945	1	10	12	0	0	1006.70	
1945	1	10	13	0	0	1007.10	
1945	1	10	14	0	0	1007.40	
1945	1	10	15	0	0	1007.40	
1945	1	10	16	0	0	1007.70	
1945	1	10	17	0	0	1008.10	
1945	1	10	18	0	0	1007.40	
1945	1	10	19	0	0	1008.80	
1945	1	10	20	0	0	1008.80	
1945	1	10	21	0	0	1009.10	
1945	1	10	22	0	0	1009.40	
1945	1	10	23	0	0	1008.80	
1945	1	11	0	0	0	1008.80	
1945	1	11	1	0	0	1008.80	
1945	1	11	2	0	0	1007.70	
1945	1	11	3	0	0	1007.10	
1945	1	11	4	0	0	1006.70	
1945	1	11	5	0	0	1007.70	
1945	1	11	6	0	0	1007.70	
1945	1	11	7	0	0	1008.10	
1945	1	11	8	0	0	1008.10	
1945	1	11	9	0	0	1008.10	
1945	1	11	10	0	0	1008.10	
1945	1	11	11	0	0	1006.70	
1945	1	11	12	0	0	1006.70	
1945	1	11	13	0	0	1006.00	
1945	1	11	14	0	0	1006.00	
1945	1	11	15	0	0	1005.70	
1945	1	11	16	0	0	1005.70	
1945	1	11	17	0	0	1006.40	
1945	1	11	18	0	0	1006.40	
1945	1	11	19	0	0	1006.00	
1945	1	11	20	0	0	1005.70	
1945	1	11	21	0	0	1005.00	
1945	1	11	22	0	0	1003.70	
1945	1	11	23	0	0	1003.00	
1945	1	12	0	0	0	1002.30	
1945	1	12	1	0	0	1001.60	
1945	1	12	2	0	0	1001.00	
1945	1	12	3	0	0	1000.60	
1945	1	12	4	0	0	1000.30	
1945	1	12	5	0	0	1000.00	
1945	1	12	6	0	0	1000.00	
1945	1	12	7	0	0	1000.30	
1945	1	12	8	0	0	1001.30	
1945	1	12	9	0	0	1001.00	
1945	1	12	10	0	0	1001.00	
1945	1	12	11	0	0	1000.30	
1945	1	12	12	0	0	999.30	
1945	1	12	13	0	0	999.30	
1945	1	12	14	0	0	1001.00	
1945	1	12	15	0	0	1001.30	
1945	1	12	16	0	0	1001.60	
1945	1	12	17	0	0	1003.00	
1945	1	12	18	0	0	1003.70	
1945	1	12	19	0	0	1004.70	
1945	1	12	20	0	0	1005.40	
1945	1	12	21	0	0	1005.40	
1945	1	12	22	0	0	1005.40	
1945	1	12	23	0	0	1006.40	
1945	1	13	0	0	0	1007.70	
1945	1	13	1	0	0	1008.40	
1945	1	13	2	0	0	1009.10	
1945	1	13	3	0	0	1009.80	
1945	1	13	4	0	0	1009.80	
1945	1	13	5	0	0	1010.10	
1945	1	13	6	0	0	1010.50	
1945	1	13	7	0	0	1010.50	
1945	1	13	8	0	0	1010.80	
1945	1	13	9	0	0	1010.80	
1945	1	13	10	0	0	1010.50	
1945	1	13	11	0	0	1009.80	
1945	1	13	12	0	0	1009.10	
1945	1	13	13	0	0	1008.40	
1945	1	13	14	0	0	1007.40	
1945	1	13	15	0	0	1007.10	
1945	1	13	16	0	0	1007.10	
1945	1	13	17	0	0	1007.10	
1945	1	13	18	0	0	1007.10	
1945	1	13	19	0	0	1009.10	
1945	1	13	20	0	0	1010.50	
1945	1	13	21	0	0	1010.50	
1945	1	13	22	0	0	1011.50	
1945	1	13	23	0	0	1011.50	
1945	1	14	0	0	0	1011.80	
1945	1	14	1	0	0	1012.50	
1945	1	14	2	0	0	1013.80	
1945	1	14	3	0	0	1014.20	
1945	1	14	4	0	0	1015.20	
1945	1	14	5	0	0	1015.50	
1945	1	14	6	0	0	1016.90	
1945	1	14	7	0	0	1017.20	
1945	1	14	8	0	0	1017.60	
1945	1	14	9	0	0	1017.90	
1945	1	14	10	0	0	1017.90	
1945	1	14	11	0	0	1015.90	
1945	1	14	12	0	0	1015.50	
1945	1	14	13	0	0	1015.50	
1945	1	14	14	0	0	1015.90	
1945	1	14	15	0	0	1015.90	
1945	1	14	16	0	0	1017.60	
1945	1	14	17	0	0	1017.60	
1945	1	14	18	0	0	1017.60	
1945	1	14	19	0	0	1017.60	
1945	1	14	20	0	0	1017.60	
1945	1	14	21	0	0	1017.20	
1945	1	14	22	0	0	1017.20	
1945	1	14	23	0	0	1017.20	
1945	1	15	0	0	0	1017.20	
1945	1	15	1	0	0	1016.50	
1945	1	15	2	0	0	1015.90	
1945	1	15	3	0	0	1015.50	
1945	1	15	4	0	0	1015.50	
1945	1	15	5	0	0	1015.20	
1945	1	15	6	0	0	1014.50	
1945	1	15	7	0	0	1014.20	
1945	1	15	8	0	0	1013.50	
1945	1	15	9	0	0	1012.80	
1945	1	15	10	0	0	1012.10	
1945	1	15	11	0	0	1010.10	
1945	1	15	12	0	0	1007.40	
1945	1	15	13	0	0	1006.70	
1945	1	15	14	0	0	1006.40	
1945	1	15	15	0	0	1006.00	
1945	1	15	16	0	0	1006.00	
1945	1	15	17	0	0	1005.70	
1945	1	15	18	0	0	1006.40	
1945	1	15	19	0	0	1006.40	
1945	1	15	20	0	0	1006.00	
1945	1	15	21	0	0	1006.00	
1945	1	15	22	0	0	1005.40	
1945	1	15	23	0	0	1005.40	
1945	1	16	0	0	0	1005.40	
1945	1	16	1	0	0	1005.40	
1945	1	16	2	0	0	1005.00	
1945	1	16	3	0	0	1005.00	
1945	1	16	4	0	0	1005.00	
1945	1	16	5	0	0	1005.70	
1945	1	16	6	0	0	1006.00	
1945	1	16	7	0	0	1006.70	
1945	1	16	8	0	0	1008.80	
1945	1	16	9	0	0	1009.10	
1945	1	16	10	0	0	1008.80	
1945	1	16	11	0	0	1007.40	
1945	1	16	12	0	0	1007.40	
1945	1	16	13	0	0	1007.10	
1945	1	16	14	0	0	1007.70	
1945	1	16	15	0	0	1008.40	
1945	1	16	16	0	0	1008.80	
1945	1	16	17	0	0	1009.40	
1945	1	16	18	0	0	1009.80	
1945	1	16	19	0	0	1010.50	
1945	1	16	20	0	0	1010.80	
1945	1	16	21	0	0	1010.80	
1945	1	16	22	0	0	1010.80	
1945	1	16	23	0	0	1011.10	
1945	1	17	0	0	0	1011.50	
1945	1	17	1	0	0	1012.50	
1945	1	17	2	0	0	1012.10	
1945	1	17	3	0	0	1012.10	
1945	1	17	4	0	0	1012.50	
1945	1	17	5	0	0	1012.80	
1945	1	17	6	0	0	1013.20	
1945	1	17	7	0	0	1013.20	
1945	1	17	8	0	0	1013.50	
1945	1	17	9	0	0	1013.80	
1945	1	17	10	0	0	1013.80	
1945	1	17	11	0	0	1012.10	
1945	1	17	12	0	0	1011.10	
1945	1	17	13	0	0	1011.10	
1945	1	17	14	0	0	1011.10	
1945	1	17	15	0	0	1011.10	
1945	1	17	16	0	0	1011.10	
1945	1	17	17	0	0	1011.80	
1945	1	17	18	0	0	1011.80	
1945	1	17	19	0	0	1011.80	
1945	1	17	20	0	0	1012.10	
1945	1	17	21	0	0	1012.50	
1945	1	17	22	0	0	1012.50	
1945	1	17	23	0	0	1012.10	
1945	1	18	0	0	0	1011.80	
1945	1	18	1	0	0	1011.80	
1945	1	18	2	0	0	1011.50	
1945	1	18	3	0	0	1011.50	
1945	1	18	4	0	0	1011.50	
1945	1	18	5	0	0	1012.50	
1945	1	18	6	0	0	1012.80	
1945	1	18	7	0	0	1013.50	
1945	1	18	8	0	0	1014.20	
1945	1	18	9	0	0	1014.20	
1945	1	18	10	0	0	1014.20	
1945	1	18	11	0	0	1013.80	
1945	1	18	12	0	0	1012.50	
1945	1	18	13	0	0	1012.50	
1945	1	18	14	0	0	1013.80	
1945	1	18	15	0	0	1014.20	
1945	1	18	16	0	0	1015.20	
1945	1	18	17	0	0	1015.50	
1945	1	18	18	0	0	1015.90	
1945	1	18	19	0	0	1016.50	
1945	1	18	20	0	0	1016.20	
1945	1	18	21	0	0	1016.20	
1945	1	18	22	0	0	1015.90	
1945	1	18	23	0	0	1016.50	
1945	1	19	0	0	0	1016.50	
1945	1	19	1	0	0	1016.50	
1945	1	19	2	0	0	1016.50	
1945	1	19	3	0	0	1016.50	
1945	1	19	4	0	0	1016.50	
1945	1	19	5	0	0	1015.90	
1945	1	19	6	0	0	1015.90	
1945	1	19	7	0	0	1016.20	
1945	1	19	8	0	0	1016.90	
1945	1	19	9	0	0	1017.20	
1945	1	19	10	0	0	1017.20	
1945	1	19	11	0	0	1015.90	
1945	1	19	12	0	0	1015.90	
1945	1	19	13	0	0	1015.90	
1945	1	19	14	0	0	1015.50	
1945	1	19	15	0	0	1016.20	
1945	1	19	16	0	0	1015.90	
1945	1	19	17	0	0	1016.50	
1945	1	19	18	0	0	1016.90	
1945	1	19	19	0	0	1016.90	
1945	1	19	20	0	0	1016.50	
1945	1	19	21	0	0	1017.20	
1945	1	19	22	0	0	1017.20	
1945	1	19	23	0	0	1016.50	
1945	1	20	0	0	0	1016.90	
1945	1	20	1	0	0	1017.20	
1945	1	20	2	0	0	1017.60	
1945	1	20	3	0	0	1017.60	
1945	1	20	4	0	0	1017.60	
1945	1	20	5	0	0	1018.20	
1945	1	20	6	0	0	1018.90	
1945	1	20	7	0	0	1019.90	
1945	1	20	8	0	0	1021.30	
1945	1	20	9	0	0	1021.60	
1945	1	20	10	0	0	1021.60	
1945	1	20	11	0	0	1020.90	
1945	1	20	12	0	0	1020.60	
1945	1	20	13	0	0	1020.60	
1945	1	20	14	0	0	1020.60	
1945	1	20	15	0	0	1020.60	
1945	1	20	16	0	0	1020.60	
1945	1	20	17	0	0	1021.60	
1945	1	20	18	0	0	1021.60	
1945	1	20	19	0	0	1021.60	
1945	1	20	20	0	0	1022.30	
1945	1	20	21	0	0	1022.30	
1945	1	20	22	0	0	1022.00	
1945	1	20	23	0	0	1021.60	
1945	1	21	0	0	0	1021.60	
1945	1	21	1	0	0	1021.30	
1945	1	21	2	0	0	1020.30	
1945	1	21	3	0	0	1020.30	
1945	1	21	4	0	0	1020.30	
1945	1	21	5	0	0	1020.30	
1945	1	21	6	0	0	1020.60	
1945	1	21	7	0	0	1021.30	
1945	1	21	8	0	0	1020.90	
1945	1	21	9	0	0	1020.90	
1945	1	21	10	0	0	1019.30	
1945	1	21	11	0	0	1018.60	
1945	1	21	12	0	0	1017.90	
1945	1	21	13	0	0	1017.20	
1945	1	21	14	0	0	1016.90	
1945	1	21	15	0	0	1016.90	
1945	1	21	16	0	0	1016.90	
1945	1	21	17	0	0	1017.20	
1945	1	21	18	0	0	1017.20	
1945	1	21	19	0	0	1017.60	
1945	1	21	20	0	0	1017.90	
1945	1	21	21	0	0	1018.20	
1945	1	21	22	0	0	1018.20	
1945	1	21	23	0	0	1018.20	
1945	1	22	0	0	0	1017.90	
1945	1	22	1	0	0	1017.20	
1945	1	22	2	0	0	1016.50	
1945	1	22	3	0	0	1016.50	
1945	1	22	4	0	0	1016.50	
1945	1	22	5	0	0	1016.90	
1945	1	22	6	0	0	1016.90	
1945	1	22	7	0	0	1018.60	
1945	1	22	8	0	0	1018.90	
1945	1	22	9	0	0	1019.30	
1945	1	22	10	0	0	1019.30	
1945	1	22	11	0	0	1018.60	
1945	1	22	12	0	0	1018.60	
1945	1	22	13	0	0	1018.60	
1945	1	22	14	0	0	1018.60	
1945	1	22	15	0	0	1018.60	
1945	1	22	16	0	0	1019.30	
1945	1	22	17	0	0	1020.90	
1945	1	22	18	0	0	1021.30	
1945	1	22	19	0	0	1021.60	
1945	1	22	20	0	0	1022.00	
1945	1	22	21	0	0	1021.60	
1945	1	22	22	0	0	1022.00	
1945	1	22	23	0	0	1022.30	
1945	1	23	0	0	0	1022.30	
1945	1	23	1	0	0	1022.30	
1945	1	23	2	0	0	1022.30	
1945	1	23	3	0	0	1022.30	
1945	1	23	4	0	0	1022.30	
1945	1	23	5	0	0	1022.60	
1945	1	23	6	0	0	1023.00	
1945	1	23	7	0	0	1022.60	
1945	1	23	8	0	0	1022.60	
1945	1	23	9	0	0	1022.60	
1945	1	23	10	0	0	1021.30	
1945	1	23	11	0	0	1020.30	
1945	1	23	12	0	0	1019.30	
1945	1	23	13	0	0	1017.90	
1945	1	23	14	0	0	1017.90	
1945	1	23	15	0	0	1018.20	
1945	1	23	16	0	0	1018.20	
1945	1	23	17	0	0	1018.60	
1945	1	23	18	0	0	1018.90	
1945	1	23	19	0	0	1019.30	
1945	1	23	20	0	0	1019.90	
1945	1	23	21	0	0	1019.90	
1945	1	23	22	0	0	1019.90	
1945	1	23	23	0	0	1019.60	
1945	1	24	0	0	0	1018.90	
1945	1	24	1	0	0	1017.90	
1945	1	24	2	0	0	1017.90	
1945	1	24	3	0	0	1017.20	
1945	1	24	4	0	0	1017.60	
1945	1	24	5	0	0	1017.60	
1945	1	24	6	0	0	1017.60	
1945	1	24	7	0	0	1017.60	
1945	1	24	8	0	0	1017.90	
1945	1	24	9	0	0	1017.60	
1945	1	24	10	0	0	1017.20	
1945	1	24	11	0	0	1016.50	
1945	1	24	12	0	0	1015.90	
1945	1	24	13	0	0	1015.50	
1945	1	24	14	0	0	1015.90	
1945	1	24	15	0	0	1015.90	
1945	1	24	16	0	0	1015.50	
1945	1	24	17	0	0	1015.90	
1945	1	24	18	0	0	1016.20	
1945	1	24	19	0	0	1016.50	
1945	1	24	20	0	0	1017.20	
1945	1	24	21	0	0	1017.20	
1945	1	24	22	0	0	1017.20	
1945	1	24	23	0	0	1017.20	
1945	1	25	0	0	0	1016.20	
1945	1	25	1	0	0	1015.90	
1945	1	25	2	0	0	1015.90	
1945	1	25	3	0	0	1015.90	
1945	1	25	4	0	0	1016.20	
1945	1	25	5	0	0	1016.90	
1945	1	25	6	0	0	1017.20	
1945	1	25	7	0	0	1017.60	
1945	1	25	8	0	0	1017.60	
1945	1	25	9	0	0	1017.60	
1945	1	25	10	0	0	1016.50	
1945	1	25	11	0	0	1015.50	
1945	1	25	12	0	0	1014.50	
1945	1	25	13	0	0	1013.20	
1945	1	25	14	0	0	1013.80	
1945	1	25	15	0	0	1013.80	
1945	1	25	16	0	0	1013.50	
1945	1	25	17	0	0	1013.80	
1945	1	25	18	0	0	1014.50	
1945	1	25	19	0	0	1014.90	
1945	1	25	20	0	0	1015.20	
1945	1	25	21	0	0	1015.20	
1945	1	25	22	0	0	1015.20	
1945	1	25	23	0	0	1015.20	
1945	1	26	0	0	0	1014.90	
1945	1	26	1	0	0	1014.50	
1945	1	26	2	0	0	1014.20	
1945	1	26	3	0	0	1013.50	
1945	1	26	4	0	0	1013.20	
1945	1	26	5	0	0	1013.50	
1945	1	26	6	0	0	1013.50	
1945	1	26	7	0	0	1013.80	
1945	1	26	8	0	0	1013.20	
1945	1	26	9	0	0	1012.50	
1945	1	26	10	0	0	1011.50	
1945	1	26	11	0	0	1009.80	
1945	1	26	12	0	0	1008.40	
1945	1	26	13	0	0	1008.40	
1945	1	26	14	0	0	1008.40	
1945	1	26	15	0	0	1008.80	
1945	1	26	16	0	0	1009.40	
1945	1	26	17	0	0	1010.50	
1945	1	26	18	0	0	1011.10	
1945	1	26	19	0	0	1011.10	
1945	1	26	20	0	0	1012.10	
1945	1	26	21	0	0	1012.10	
1945	1	26	22	0	0	1011.80	
1945	1	26	23	0	0	1012.10	
1945	1	27	0	0	0	1012.10	
1945	1	27	1	0	0	1012.80	
1945	1	27	2	0	0	1013.20	
1945	1	27	3	0	0	1013.50	
1945	1	27	4	0	0	1015.50	
1945	1	27	5	0	0	1016.90	
1945	1	27	6	0	0	1017.60	
1945	1	27	7	0	0	1020.60	
1945	1	27	8	0	0	1020.90	
1945	1	27	9	0	0	1021.30	
1945	1	27	10	0	0	1021.30	
1945	1	27	11	0	0	1020.60	
1945	1	27	12	0	0	1019.60	
1945	1	27	13	0	0	1019.30	
1945	1	27	14	0	0	1019.30	
1945	1	27	15	0	0	1018.60	
1945	1	27	16	0	0	1017.90	
1945	1	27	17	0	0	1018.90	
1945	1	27	18	0	0	1019.30	
1945	1	27	19	0	0	1018.90	
1945	1	27	20	0	0	1018.60	
1945	1	27	21	0	0	1018.90	
1945	1	27	22	0	0	1017.90	
1945	1	27	23	0	0	1017.20	
1945	1	28	0	0	0	1016.20	
1945	1	28	1	0	0	1015.90	
1945	1	28	2	0	0	1015.20	
1945	1	28	3	0	0	1014.50	
1945	1	28	4	0	0	1013.80	
1945	1	28	5	0	0	1013.50	
1945	1	28	6	0	0	1013.20	
1945	1	28	7	0	0	1013.20	
1945	1	28	8	0	0	1012.80	
1945	1	28	9	0	0	1012.80	
1945	1	28	10	0	0	1012.80	
1945	1	28	11	0	0	1011.10	
1945	1	28	12	0	0	1009.80	
1945	1	28	13	0	0	1010.10	
1945	1	28	14	0	0	1010.10	
1945	1	28	15	0	0	1010.80	
1945	1	28	16	0	0	1011.50	
1945	1	28	17	0	0	1011.50	
1945	1	28	18	0	0	1011.80	
1945	1	28	19	0	0	1011.80	
1945	1	28	20	0	0	1012.50	
1945	1	28	21	0	0	1012.80	
1945	1	28	22	0	0	1012.50	
1945	1	28	23	0	0	1012.10	
1945	1	29	0	0	0	1011.80	
1945	1	29	1	0	0	1011.50	
1945	1	29	2	0	0	1011.10	
1945	1	29	3	0	0	1011.10	
1945	1	29	4	0	0	1011.50	
1945	1	29	5	0	0	1013.20	
1945	1	29	6	0	0	1013.80	
1945	1	29	7	0	0	1015.20	
1945	1	29	8	0	0	1016.20	
1945	1	29	9	0	0	1016.90	
1945	1	29	10	0	0	1017.20	
1945	1	29	11	0	0	1016.90	
1945	1	29	12	0	0	1016.90	
1945	1	29	13	0	0	1016.50	
1945	1	29	14	0	0	1016.50	
1945	1	29	15	0	0	1017.60	
1945	1	29	16	0	0	1018.20	
1945	1	29	17	0	0	1019.90	
1945	1	29	18	0	0	1020.30	
1945	1	29	19	0	0	1020.30	
1945	1	29	20	0	0	1020.90	
1945	1	29	21	0	0	1021.60	
1945	1	29	22	0	0	1022.30	
1945	1	29	23	0	0	1022.60	
1945	1	30	0	0	0	1022.60	
1945	1	30	1	0	0	1023.70	
1945	1	30	2	0	0	1024.00	
1945	1	30	3	0	0	1024.00	
1945	1	30	4	0	0	1024.30	
1945	1	30	5	0	0	1024.30	
1945	1	30	6	0	0	1025.40	
1945	1	30	7	0	0	1027.00	
1945	1	30	8	0	0	1027.40	
1945	1	30	9	0	0	1027.40	
1945	1	30	10	0	0	1027.00	
1945	1	30	11	0	0	1027.00	
1945	1	30	12	0	0	1026.70	
1945	1	30	13	0	0	1026.00	
1945	1	30	14	0	0	1026.00	
1945	1	30	15	0	0	1027.00	
1945	1	30	16	0	0	1027.40	
1945	1	30	17	0	0	1027.70	
1945	1	30	18	0	0	1028.10	
1945	1	30	19	0	0	1028.10	
1945	1	30	20	0	0	1028.10	
1945	1	30	21	0	0	1028.10	
1945	1	30	22	0	0	1028.10	
1945	1	30	23	0	0	1028.40	
1945	1	31	0	0	0	1027.40	
1945	1	31	1	0	0	1027.40	
1945	1	31	2	0	0	1027.40	
1945	1	31	3	0	0	1027.00	
1945	1	31	4	0	0	1026.70	
1945	1	31	5	0	0	1026.30	
1945	1	31	6	0	0	1027.00	
1945	1	31	7	0	0	1026.70	
1945	1	31	8	0	0	1026.40	
1945	1	31	9	0	0	1026.40	
1945	1	31	10	0	0	1026.40	
1945	1	31	11	0	0	1026.00	
1945	1	31	12	0	0	1025.00	
1945	1	31	13	0	0	1024.00	
1945	1	31	14	0	0	1023.00	
1945	1	31	15	0	0	1022.00	
1945	1	31	16	0	0	1022.30	
1945	1	31	17	0	0	1023.30	
1945	1	31	18	0	0	1024.00	
1945	1	31	19	0	0	1024.30	
1945	1	31	20	0	0	1024.70	
1945	1	31	21	0	0	1024.70	
1945	1	31	22	0	0	1024.70	
1945	1	31	23	0	0	1024.70	
